WeekOf,Avg_Better_Value,Avg_Brand_I_Trust,Avg_TOM_Awareness,Avg_Total_Awareness,Cross_any_Road,Guess_the_Price,How_Hot_Do_You_Like_It_,Jeff___His_Friends,New_Neighbors,Regular_Speed_Chase,Ruben___the_Receders,Sizzling_Sausage_Grill,Smokey_Goodness,Impressions
2017-01-30,0.31496062992126,0.637795275590551,8.82604970008569e-02,0.185946872322194,0,0,0,0,0,0,0,1,0,5449959
2017-02-06,0.274853801169591,0.549707602339181,0.110889774236388,0.194555112881806,0,0,0,0,0,0,0,1,0,4477526
2017-02-13,0.275641025641026,0.525641025641026,0.108510638297872,0.20531914893617,0,0,0,0,0,0,0,1,0,4691816
2017-02-20,0.28,0.542857142857143,8.06122448979592e-02,0.172448979591837,0,0,0,0,0,0,0,1,0,2944040
2017-02-27,0.316326530612245,0.622448979591837,8.91089108910891e-02,0.183168316831683,0,0,0,1,0,0,0,0,0,145889793
2017-03-06,0.357142857142857,0.607142857142857,0.11340206185567,0.206185567010309,0,0,0,1,0,0,0,0,0,122280996
2017-03-20,0.325581395348837,0.63953488372093,0.120634920634921,0.219047619047619,0,0,0,1,0,0,0,0,0,115180415
2017-03-27,0.304878048780488,0.548780487804878,6.2111801242236e-02,0.142857142857143,0,0,0,1,0,0,0,0,0,18740638
2017-04-03,0.298701298701299,0.558441558441558,0.111111111111111,0.228888888888889,0,0,0,1,0,0,0,0,0,114038519
2017-04-10,0.246913580246914,0.518518518518519,0.107142857142857,0.185714285714286,0,1,0,0,0,0,0,0,0,150701689
2017-04-10,0.246913580246914,0.518518518518519,0.107142857142857,0.185714285714286,0,0,0,1,0,0,0,0,0,120083903
2017-04-17,0.261904761904762,0.523809523809524,0.135728542914172,0.231536926147705,0,1,0,0,0,0,1,0,0,296271753
2017-04-24,0.294871794871795,0.551282051282051,0.146443514644352,0.238493723849372,0,1,0,0,0,0,0,0,0,156146955
2017-04-24,0.294871794871795,0.551282051282051,0.146443514644351,0.238493723849372,0,0,0,0,0,0,1,0,0,128927787
2017-05-01,0.317073170731707,0.609756097560975,0.113960113960114,0.219373219373219,0,1,0,0,0,0,1,0,0,266669285
2017-05-08,0.272727272727273,0.467532467532467,0.136507936507936,0.238095238095238,1,0,0,0,0,0,0,0,0,154185845
2017-05-15,0.216867469879518,0.506024096385542,0.119363395225464,0.204244031830239,0,0,0,0,0,1,0,0,0,86065700
2017-05-15,0.216867469879518,0.506024096385542,0.119363395225464,0.204244031830239,0,0,0,0,0,0,1,0,0,1531076
2017-05-15,0.216867469879518,0.506024096385542,0.119363395225464,0.204244031830239,1,1,0,0,0,0,0,0,0,182095862
2017-05-22,0.264367816091954,0.505747126436782,0.135446685878962,0.221902017291066,0,1,0,0,0,0,0,0,0,18441771
2017-05-22,0.264367816091954,0.505747126436782,0.135446685878962,0.221902017291066,0,0,0,0,0,1,0,0,1,230178507
2017-05-22,0.264367816091954,0.505747126436782,0.135446685878963,0.221902017291066,1,0,0,0,0,0,0,0,0,450419
2017-05-22,0.264367816091954,0.505747126436782,0.135446685878962,0.221902017291066,0,0,1,0,0,0,0,0,0,117921565
2017-05-29,0.225,0.525,0.119148936170213,0.195744680851064,0,1,0,0,0,0,0,0,0,9735377
2017-05-29,0.225,0.525,0.119148936170213,0.195744680851064,0,0,0,0,0,1,0,0,0,16165971
2017-06-05,0.351351351351351,0.486486486486487,0.108262108262108,0.190883190883191,0,1,0,0,0,0,0,0,0,23259419
2017-06-05,0.351351351351352,0.486486486486487,0.108262108262108,0.190883190883191,0,0,0,0,0,1,0,0,0,38713836
2017-06-05,0.351351351351352,0.486486486486486,0.108262108262108,0.190883190883191,0,0,1,0,0,0,0,0,0,77363049
2017-06-12,0.186046511627907,0.546511627906977,8.72817955112219e-02,0.179551122194514,0,0,1,0,0,1,0,0,0,100681660
2017-06-12,0.186046511627907,0.546511627906977,8.72817955112219e-02,0.179551122194514,0,1,0,0,0,0,0,0,0,15797866
2017-06-12,0.186046511627907,0.546511627906977,8.72817955112219e-02,0.179551122194514,0,0,0,0,1,0,0,0,1,1028048
2017-06-19,0.337349397590361,0.530120481927711,9.9644128113879e-02,0.163701067615658,0,0,1,0,0,0,0,0,0,88787804
2017-06-19,0.337349397590361,0.530120481927711,9.9644128113879e-02,0.163701067615658,0,0,0,0,0,1,0,0,0,56966604
2017-06-19,0.337349397590361,0.530120481927711,9.9644128113879e-02,0.163701067615658,0,1,0,0,0,0,0,0,0,13769745
